Id,weight,modularity_class,Degree,Weighted Degree,X,Y,Size,Color
katyayan,1686,69,12,1686,-429.434265,-50.317177,11.010326,"#cc0e5e"
kharkov,27,0,2,27,-60.647484,-437.373047,10.008454,"#ff6922"
kherson,1200,70,21,1200,273.800964,-355.095367,10.716831,"#689740"
zaporizhzhya,82,70,4,82,285.519501,-418.493774,10.041669,"#689740"
khersoncounteroffensive,45,9,3,45,-128.281067,-412.183228,10.019325,"#d6cf7b"
odessa,166,71,5,166,-102.446907,341.572571,10.092397,"#ff9371"
slavacocaini,155,73,10,155,-545.555725,32.978489,10.085754,"#448b00"
ukraine️nazis,224,73,10,224,-460.744598,101.66497,10.127423,"#448b00"
killputin,41,50,3,41,-84.471748,-157.509903,10.01691,"#3e68b8"
klausschwab,70,44,3,70,-68.509918,-48.606174,10.034422,"#ffab53"
kramatorsk,32,0,2,32,115.675758,-576.171997,10.011474,"#ff6922"
krasniyliman,29,5,2,29,485.645782,149.811691,10.009663,"#16a6cc"
krasnyliman,15,5,1,15,486.4245,278.523315,10.001207,"#16a6cc"
kremlin,61,3,2,61,-201.858887,-342.833069,10.028987,"#ff72c0"
kupyansk,53,5,2,53,480.259186,-8.582928,10.024156,"#16a6cc"
letsgobrandon,155,0,5,155,22.352156,-565.315491,10.085754,"#ff6922"
letsgorinowarmongers,14,0,1,14,139.921158,-545.027344,10.000604,"#ff6922"
peacesummitnow,51,0,2,51,237.284012,-369.02005,10.022948,"#ff6922"
rinowarmongers,40,0,2,40,-90.037048,-517.805542,10.016305,"#ff6922"
lgbt,253,82,12,253,437.033386,-346.779846,10.144937,"#00f2ff"
russianorthodox,252,82,12,252,382.379303,-382.905273,10.144332,"#00f2ff"
セクマイさん,252,82,12,252,404.688049,-361.388062,10.144332,"#00f2ff"
ロシア,252,82,12,252,356.769135,-357.686127,10.144332,"#00f2ff"
